HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
1600,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
159,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
210,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
616,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
651,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1261,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1275,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1433,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1470,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1545,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1647,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1652,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1661,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1809,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1895,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1949,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
1994,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2024,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2027,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2260,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2264,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2291,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2322,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2325,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2435,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2531,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2607,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
2630,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3049,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3445,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3681,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3811,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3881,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3895,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3940,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
3977,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
4017,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
4264,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
4405,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
4406,N,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
4552,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
4568,Y,Unknown,Unknown,Unknown,Unknown,Unknown,2.14,1.24
